# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.2095 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.383799736668e-02       2.536580755192e+04 
       2.396994054382e-02       2.530243229223e+04 
       2.410201267839e-02       2.523839481969e+04 
       2.423421652429e-02       2.517375400489e+04 
       2.436655490291e-02       2.510832766038e+04 
       2.449903070491e-02       2.504235198452e+04 
       2.463164689209e-02       2.497572418837e+04 
       2.476440649928e-02       2.490852894013e+04 
       2.489731263634e-02       2.484075831107e+04 
       2.503036849019e-02       2.477245906855e+04 
       2.516357732690e-02       2.470351531715e+04 
       2.529694249389e-02       2.463393301474e+04 
       2.543046742222e-02       2.456398811625e+04 
       2.556415562886e-02       2.449346488963e+04 
       2.569801071913e-02       2.442248892340e+04 
       2.583203638922e-02       2.435087285176e+04 
       2.596623642875e-02       2.427889116302e+04 
       2.610061472345e-02       2.420643877050e+04 
       2.623517525793e-02       2.413354311823e+04 
       2.636992211854e-02       2.406018070717e+04 
       2.650485949636e-02       2.398642022149e+04 
       2.663999169028e-02       2.391227577291e+04 
       2.677532311015e-02       2.383761560669e+04 
       2.691085828012e-02       2.376259108669e+04 
       2.704660184209e-02       2.368721278694e+04 
       2.718255855918e-02       2.361148529565e+04 
       2.731873331953e-02       2.353542448880e+04 
       2.745513114003e-02       2.345898690354e+04 
       2.759175717032e-02       2.338219171124e+04 
       2.772861669696e-02       2.330509907406e+04 
       2.786571514761e-02       2.322770114059e+04 
       2.800305809558e-02       2.315010344537e+04 
       2.814065126438e-02       2.307200506245e+04 
       2.827850053253e-02       2.299379690659e+04 
       2.841661193858e-02       2.291523471378e+04 
       2.855499168626e-02       2.283640993248e+04 
       2.869364614990e-02       2.275732256379e+04 
       2.883258188005e-02       2.267801342382e+04 
       2.897180560929e-02       2.259848699722e+04 
       2.911132425838e-02       2.251876014496e+04 
       2.925114494252e-02       2.243881359132e+04 
       2.939127497802e-02       2.235860148757e+04 
       2.953172188915e-02       2.227828418643e+04 
       2.967249341533e-02       2.219770315156e+04 
       2.981359751859e-02       2.211701563730e+04 
       2.995504239143e-02       2.203619099751e+04 
       3.009683646490e-02       2.195515123209e+04 
       3.023898841718e-02       2.187386953198e+04 
       3.038150718243e-02       2.179252424413e+04 
       3.052440196005e-02       2.171110291335e+04 
       3.066768222446e-02       2.162941023705e+04 
       3.081135773520e-02       2.154774724874e+04 
       3.095543854754e-02       2.146581798567e+04 
       3.109993502364e-02       2.138393359206e+04 
       3.124485784415e-02       2.130193816197e+04 
       3.139021802039e-02       2.121971081901e+04 
       3.153602690715e-02       2.113750160669e+04 
       3.168229621609e-02       2.105523359358e+04 
       3.182903802971e-02       2.097279216383e+04 
       3.197626481617e-02       2.089033567197e+04 
       3.212398944471e-02       2.080784307993e+04 
       3.227222520188e-02       2.072525200198e+04 
       3.242098580866e-02       2.064261561919e+04 
       3.257028543837e-02       2.055996984141e+04 
       3.272013873555e-02       2.047724076080e+04 
       3.287056083584e-02       2.039454481790e+04 
       3.302156738686e-02       2.031179597639e+04 
       3.317317457028e-02       2.022885659660e+04 
       3.332539912502e-02       2.014610248644e+04 
       3.347825837176e-02       2.006321310882e+04 
       3.363177023875e-02       1.998035044188e+04 
       3.378595328914e-02       1.989757331232e+04 
       3.394082674976e-02       1.981471820967e+04 
       3.409641054164e-02       1.973182173437e+04 
       3.425272531218e-02       1.964898965048e+04 
       3.440979246933e-02       1.956613141096e+04 
       3.456763421765e-02       1.948323157490e+04 
       3.472627359663e-02       1.940037300952e+04 
       3.488573452127e-02       1.931762692630e+04 
       3.504604182518e-02       1.923477692707e+04 
       3.520722130630e-02       1.915192150282e+04 
       3.536929977551e-02       1.906919889346e+04 
