# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   81       2.835130428982e-10       6.396029471393e-14      -1.484000822612e-12       0.000000000000e+00       1.847202942623e-11       2.385812264622e-12      -1.145104279150e-14 
   82       2.870209054728e-10       6.595571616171e-14      -1.558668527153e-12       0.000000000000e+00       1.791931621066e-11       2.324208432301e-12      -1.141640536471e-14 
   83       2.905639360891e-10       6.796266228967e-14      -1.634466618046e-12       0.000000000000e+00       1.738768747722e-11       2.265093689300e-12      -1.118634934751e-14 
   84       2.941409390306e-10       6.997923226508e-14      -1.711299721432e-12       0.000000000000e+00       1.687632673139e-11       2.208595221357e-12      -1.087402298027e-14 
   85       2.977488546441e-10       7.200361323092e-14      -1.789047420387e-12       0.000000000000e+00       1.638431608920e-11       2.154709733743e-12      -1.064461488409e-14 
   86       3.013851262435e-10       7.403402999324e-14      -1.867613843772e-12       0.000000000000e+00       1.591058753832e-11       2.103314050000e-12      -1.062353326260e-14 
   87       3.050511724075e-10       7.606904608325e-14      -1.947031572472e-12       0.000000000000e+00       1.545444852733e-11       2.053873770484e-12      -1.071948170321e-14 
   88       3.087494379809e-10       7.810731128248e-14      -2.027374332082e-12       0.000000000000e+00       1.501511939778e-11       2.005684955659e-12      -1.077342585379e-14 
   89       3.124817999361e-10       8.014761136456e-14      -2.108704893246e-12       0.000000000000e+00       1.459169659443e-11       1.958190798733e-12      -1.065546446642e-14 
   90       3.162478389542e-10       8.218931044284e-14      -2.191007775119e-12       0.000000000000e+00       1.418356883820e-11       1.911718053756e-12      -1.040484255210e-14 
   91       3.200462855845e-10       8.423198068823e-14      -2.274246578428e-12       0.000000000000e+00       1.379004889446e-11       1.866851755841e-12      -1.011121557611e-14 
   92       3.238757030947e-10       8.627500856065e-14      -2.358373521032e-12       0.000000000000e+00       1.341036774474e-11       1.824059785794e-12      -9.851887251344e-15 
   93       3.277350401901e-10       8.831675852887e-14      -2.443295101557e-12       0.000000000000e+00       1.304407873376e-11       1.783204622218e-12      -9.626086299570e-15 
   94       3.316231377916e-10       9.035528787077e-14      -2.528901248739e-12       0.000000000000e+00       1.269070113689e-11       1.743958555860e-12      -9.411087397258e-15 
   95       3.355385473067e-10       9.238859954441e-14      -2.615075564018e-12       0.000000000000e+00       1.234959023672e-11       1.705949842725e-12      -9.182045550480e-15 
   96       3.394800457016e-10       9.441444826115e-14      -2.701699035290e-12       0.000000000000e+00       1.202005183500e-11       1.668851627594e-12      -8.919610969172e-15 
   97       3.434482903350e-10       9.642972715373e-14      -2.788662061398e-12       0.000000000000e+00       1.170171733779e-11       1.632666447827e-12      -8.634167767755e-15 
   98       3.474443863366e-10       9.843099055492e-14      -2.875853963998e-12       0.000000000000e+00       1.139421298359e-11       1.597480937149e-12      -8.345041014005e-15 
   99       3.514693779520e-10       1.004146367787e-13      -2.963159236661e-12       0.000000000000e+00       1.109704030941e-11       1.563379079757e-12      -8.073180151034e-15 
  100       3.555238887990e-10       1.023774660938e-13      -3.050476494917e-12       0.000000000000e+00       1.080966008481e-11       1.530423555772e-12      -7.836553234643e-15 
  101       3.596069941328e-10       1.043184500762e-13      -3.137778515070e-12       0.000000000000e+00       1.053176662176e-11       1.498597183961e-12      -7.635503705650e-15 
  102       3.637171818536e-10       1.062372063179e-13      -3.225060521955e-12       0.000000000000e+00       1.026304431049e-11       1.467852889785e-12      -7.465406527351e-15 
  103       3.678526856310e-10       1.081334635172e-13      -3.312322069446e-12       0.000000000000e+00       1.000307979994e-11       1.438131050356e-12      -7.321118041978e-15 
  104       3.720118887619e-10       1.100066934568e-13      -3.399549869001e-12       0.000000000000e+00       9.751429371870e-12       1.409357647330e-12      -7.197508594649e-15 
  105       3.761946160033e-10       1.118549421070e-13      -3.486663303001e-12       0.000000000000e+00       9.507838225355e-12       1.381439304139e-12      -7.091172500516e-15 
  106       3.804010013693e-10       1.136758469959e-13      -3.573561802918e-12       0.000000000000e+00       9.272045069149e-12       1.354266828496e-12      -6.998924045182e-15 
  107       3.846310876014e-10       1.154669946756e-13      -3.660141480519e-12       0.000000000000e+00       9.043711885158e-12       1.327716187659e-12      -6.917263591891e-15 
  108       3.888846749451e-10       1.172260230761e-13      -3.746302561220e-12       0.000000000000e+00       8.822477196612e-12       1.301690520777e-12      -6.842958562251e-15 
  109       3.931608534197e-10       1.189509443198e-13      -3.831972864693e-12       0.000000000000e+00       8.608128878197e-12       1.276253294570e-12      -6.774889619404e-15 
  110       3.974584020741e-10       1.206398636442e-13      -3.917087328158e-12       0.000000000000e+00       8.400449511617e-12       1.251511795183e-12      -6.712431153103e-15 
  111       4.017759255553e-10       1.222908812970e-13      -4.001580848232e-12       0.000000000000e+00       8.199160956058e-12       1.227576265258e-12      -6.654881830787e-15 
  112       4.061121159778e-10       1.239021609360e-13      -4.085388107256e-12       0.000000000000e+00       8.003965487230e-12       1.204513663439e-12      -6.600784692649e-15 
  113       4.104665874846e-10       1.254721429425e-13      -4.168442943379e-12       0.000000000000e+00       7.814678977364e-12       1.182202302670e-12      -6.545794569734e-15 
  114       4.148391370446e-10       1.269993595111e-13      -4.250678974406e-12       0.000000000000e+00       7.631111145865e-12       1.160458874421e-12      -6.484537471195e-15 
  115       4.192294837607e-10       1.284823708213e-13      -4.332029840439e-12       0.000000000000e+00       7.453022714382e-12       1.139082652626e-12      -6.411256193518e-15 
  116       4.236371486118e-10       1.299197398979e-13      -4.412427431902e-12       0.000000000000e+00       7.280163725084e-12       1.117911645160e-12      -6.321875983361e-15 
  117       4.280610831925e-10       1.313099506994e-13      -4.491796249623e-12       0.000000000000e+00       7.112396786984e-12       1.096999696669e-12      -6.220504439598e-15 
  118       4.324999902663e-10       1.326514826807e-13      -4.570058425755e-12       0.000000000000e+00       6.949586243275e-12       1.076460224880e-12      -6.113709749857e-15 
  119       4.369524332818e-10       1.339428376244e-13      -4.647135492618e-12       0.000000000000e+00       6.791558744262e-12       1.056411650084e-12      -6.008527135611e-15 
  120       4.414168324814e-10       1.351825408203e-13      -4.722948403927e-12       0.000000000000e+00       6.638102192459e-12       1.036977472818e-12      -5.912468773853e-15 
  121       4.458917010475e-10       1.363691764884e-13      -4.797419608090e-12       0.000000000000e+00       6.488999593311e-12       1.018258783022e-12      -5.831718720240e-15 
  122       4.503763930669e-10       1.375014962144e-13      -4.870479496981e-12       0.000000000000e+00       6.344137332805e-12       1.000247986729e-12      -5.765457835431e-15 
  123       4.548704359480e-10       1.385783254515e-13      -4.942060753337e-12       0.000000000000e+00       6.203407610693e-12       9.829051089678e-13      -5.710892063284e-15 
  124       4.593732962799e-10       1.395985318539e-13      -5.012096403600e-12       0.000000000000e+00       6.066673903427e-12       9.661843157134e-13      -5.665003334705e-15 
