# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   72       2.563666516488e-10       4.679701889318e-14      -8.955584503410e-13       2.284807303186e-16       2.456884591161e-11       2.895945441213e-12      -1.136985215644e-14 
   73       2.597991176968e-10       4.862266345392e-14      -9.590085238182e-13       2.348806747255e-16       2.377529910987e-11       2.815995759117e-12      -1.133659422065e-14 
   74       2.632675155935e-10       5.047602614480e-14      -1.024011356471e-12       2.413721140728e-16       2.301460115208e-11       2.739047061911e-12      -1.132791582306e-14 
   75       2.667710386593e-10       5.235551543456e-14      -1.090466671651e-12       2.479553383518e-16       2.228540675474e-11       2.664741919153e-12      -1.133709662408e-14 
   76       2.703073637604e-10       5.425962256411e-14      -1.158269231654e-12       2.546305866991e-16       2.158615863503e-11       2.592838922489e-12      -1.132360597393e-14 
   77       2.738740730991e-10       5.618668045721e-14      -1.227327958108e-12       2.613980525476e-16       2.091499746526e-11       2.523147278836e-12      -1.125515631432e-14 
   78       2.774705305548e-10       5.813464778678e-14      -1.297640615056e-12       2.682577129921e-16       2.027078247974e-11       2.455912657665e-12      -1.114819506573e-14 
   79       2.810962871930e-10       6.010128292635e-14      -1.369232219892e-12       2.752094687726e-16       1.965220609374e-11       2.391495754991e-12      -1.103447415672e-14 
   80       2.847514457426e-10       6.208455707454e-14      -1.442132247763e-12       2.822531672838e-16       1.905772993517e-11       2.330128011706e-12      -1.093901349644e-14 
   81       2.884396769325e-10       6.408377979229e-14      -1.516372090127e-12       2.893885166106e-16       1.848641757437e-11       2.271499231995e-12      -1.084782152131e-14 
   82       2.921656932776e-10       6.609866448994e-14      -1.591987583901e-12       2.966151547760e-16       1.793720938312e-11       2.215097010619e-12      -1.073473847523e-14 
   83       2.959327010198e-10       6.812892308381e-14      -1.669005904278e-12       3.039326834654e-16       1.740885408760e-11       2.160434296922e-12      -1.057591067216e-14 
   84       2.997371503040e-10       7.017403461365e-14      -1.747400598556e-12       3.113406981707e-16       1.690053436600e-11       2.107391647024e-12      -1.036545129472e-14 
   85       3.035730964938e-10       7.223344423035e-14      -1.827129380257e-12       3.188387605004e-16       1.641131785703e-11       2.055927257978e-12      -1.010227116197e-14 
   86       3.074356365131e-10       7.430633898786e-14      -1.908130748627e-12       3.264264335035e-16       1.594013019691e-11       2.006038183117e-12      -9.790665635220e-15 
   87       3.113269352550e-10       7.639070503138e-14      -1.990270312701e-12       3.341034269934e-16       1.548630558398e-11       1.957967258311e-12      -9.457138396263e-15 
   88       3.152511244813e-10       7.848412115071e-14      -2.073385682991e-12       3.418694735709e-16       1.504910335201e-11       1.912027904968e-12      -9.136326144873e-15 
   89       3.192113167659e-10       8.058394620839e-14      -2.157320786482e-12       3.497243475586e-16       1.462765505301e-11       1.868387469841e-12      -8.857453930892e-15 
   90       3.232058792913e-10       8.268702025150e-14      -2.241984521372e-12       3.576680659633e-16       1.422135277746e-11       1.826576447155e-12      -8.617089872167e-15 
   91       3.272315727409e-10       8.478991182008e-14      -2.327300805260e-12       3.657007182185e-16       1.382950466676e-11       1.785901866220e-12      -8.402261408518e-15 
   92       3.312856148671e-10       8.688951343585e-14      -2.413204436924e-12       3.738224836540e-16       1.345133997313e-11       1.745780470393e-12      -8.201594594021e-15 
   93       3.353687134054e-10       8.898465711474e-14      -2.499684235644e-12       3.820338782476e-16       1.308642100233e-11       1.706333077764e-12      -8.014676328369e-15 
   94       3.394824637028e-10       9.107473843221e-14      -2.586746458824e-12       3.903355463307e-16       1.273428011359e-11       1.667876647095e-12      -7.844048772515e-15 
   95       3.436284245974e-10       9.315923147512e-14      -2.674401961640e-12       3.987281878110e-16       1.239428750613e-11       1.630744619556e-12      -7.692376095508e-15 
   96       3.478076344807e-10       9.523736636957e-14      -2.762645583561e-12       4.072126064995e-16       1.206576329526e-11       1.595194704305e-12      -7.561336943250e-15 
   97       3.520190877428e-10       9.730710090480e-14      -2.851390493488e-12       4.157898598652e-16       1.174834476516e-11       1.561116215855e-12      -7.448112529839e-15 
   98       3.562610273957e-10       9.936600435339e-14      -2.940524545778e-12       4.244611340344e-16       1.144166238312e-11       1.528280398016e-12      -7.348387855561e-15 
   99       3.605313949159e-10       1.014115690390e-13      -3.029930122742e-12       4.332277010136e-16       1.114522267694e-11       1.496428251251e-12      -7.257403777528e-15 
  100       3.648283404460e-10       1.034413419954e-13      -3.119498293280e-12       4.420908896210e-16       1.085849182652e-11       1.465320000483e-12      -7.170452260767e-15 
  101       3.691518572789e-10       1.054533428849e-13      -3.209173755138e-12       4.510519890562e-16       1.058116884234e-11       1.434893340183e-12      -7.084467548716e-15 
  102       3.735023585805e-10       1.074457033628e-13      -3.298916053500e-12       4.601123356746e-16       1.031294311559e-11       1.405125832777e-12      -6.996636710219e-15 
  103       3.778801732870e-10       1.094165404780e-13      -3.388685967199e-12       4.692733446904e-16       1.005340696792e-11       1.375986239558e-12      -6.903906171985e-15 
  104       3.822853729027e-10       1.113639646877e-13      -3.478437660489e-12       4.785364196070e-16       9.802122427977e-12       1.347466163810e-12      -6.804752860005e-15 
