# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  134       5.049238020885e-10       1.470618471374e-13      -5.599950262030e-12       7.818354022941e-16       4.889940865055e-12       8.176366937682e-13      -5.087586329177e-15 
  135       5.094423590079e-10       1.474137529732e-13      -5.648041434353e-12       7.942475303002e-16       4.788960074317e-12       8.041796287583e-13      -5.012629471800e-15 
  136       5.139561384614e-10       1.477009777730e-13      -5.693779808323e-12       8.067858060276e-16       4.690598145028e-12       7.913117013211e-13      -4.947574933777e-15 
  137       5.184639559584e-10       1.479233591928e-13      -5.737104300794e-12       8.194512916691e-16       4.594795309463e-12       7.789624493826e-13      -4.890189820595e-15 
  138       5.229645239019e-10       1.480808213351e-13      -5.777954418329e-12       8.322449794797e-16       4.501495702621e-12       7.670104041537e-13      -4.836488352097e-15 
  139       5.274564838147e-10       1.481733671365e-13      -5.816270512173e-12       8.451678705663e-16       4.410630019970e-12       7.553253090831e-13      -4.782234922806e-15 
  140       5.319384047470e-10       1.482010800720e-13      -5.851993815285e-12       8.582209748404e-16       4.322115195624e-12       7.437679485625e-13      -4.722939480571e-15 
  141       5.364087816853e-10       1.481641258602e-13      -5.885066479376e-12       8.714053109725e-16       4.235854080518e-12       7.321899766313e-13      -4.653852905207e-15 
  142       5.408661219467e-10       1.480627593603e-13      -5.915431940990e-12       8.847218025402e-16       4.151750321939e-12       7.204806954216e-13      -4.571587213066e-15 
  143       5.453092174618e-10       1.478973424414e-13      -5.943035982764e-12       8.981709548697e-16       4.069755358588e-12       7.087130231928e-13      -4.479168492438e-15 
  144       5.497368968060e-10       1.476683311455e-13      -5.967825849070e-12       9.117531456608e-16       3.989825532571e-12       6.970118563677e-13      -4.381482513545e-15 
  145       5.541479385936e-10       1.473762723747e-13      -5.989749965123e-12       9.254687252391e-16       3.911907079772e-12       6.855085346059e-13      -4.283700172944e-15 
  146       5.585410704056e-10       1.470218056264e-13      -6.008757975954e-12       9.393180158966e-16       3.835935897863e-12       6.743409469626e-13      -4.191282474213e-15 
  147       5.629149677184e-10       1.466056647287e-13      -6.024800785392e-12       9.533013112317e-16       3.761837314310e-12       6.636536380466e-13      -4.109985508640e-15 
  148       5.672682960152e-10       1.461286811134e-13      -6.037830821530e-12       9.674188622847e-16       3.689537007467e-12       6.535570819268e-13      -4.044206380853e-15 
  149       5.715998439340e-10       1.455917903318e-13      -6.047802779655e-12       9.816708358347e-16       3.618995439557e-12       6.440008772353e-13      -3.991831667034e-15 
  150       5.759084009203e-10       1.449960294705e-13      -6.054673025164e-12       9.960573508252e-16       3.550176302802e-12       6.348885250740e-13      -3.948901622876e-15 
  151       5.801927143620e-10       1.443425373985e-13      -6.058399413351e-12       1.010578490484e-15       3.483035493439e-12       6.261170527652e-13      -3.911220803343e-15 
  152       5.844514887526e-10       1.436325565107e-13      -6.058941329615e-12       1.025234301591e-15       3.417520940423e-12       6.175768978131e-13      -3.874354015312e-15 
  153       5.886833848542e-10       1.428674344718e-13      -6.056259729677e-12       1.040024793750e-15       3.353572434132e-12       6.091517918663e-13      -3.833622270207e-15 
  154       5.928870511013e-10       1.420486164909e-13      -6.050317058457e-12       1.054950013854e-15       3.291130034912e-12       6.007440850035e-13      -3.785208346177e-15 
  155       5.970612228349e-10       1.411776176760e-13      -6.041076913699e-12       1.070010278776e-15       3.230160532759e-12       5.923535938156e-13      -3.729596853491e-15 
  156       6.012046306790e-10       1.402560514401e-13      -6.028504427834e-12       1.085205962874e-15       3.170633115836e-12       5.840058474641e-13      -3.668445615931e-15 
  157       6.053159684552e-10       1.392856404227e-13      -6.012566425784e-12       1.100537424370e-15       3.112510883159e-12       5.757273136071e-13      -3.603506134263e-15 
  158       6.093938925075e-10       1.382682181857e-13      -5.993231464574e-12       1.116005004997e-15       3.055750716425e-12       5.675454102561e-13      -3.536625117132e-15 
  159       6.134370210276e-10       1.372057309095e-13      -5.970469872921e-12       1.131609029645e-15       3.000303151849e-12       5.594885176324e-13      -3.469746011963e-15 
  160       6.174439888121e-10       1.361002246816e-13      -5.944253910865e-12       1.147349858377e-15       2.946119556557e-12       5.515803198595e-13      -3.404509610029e-15 
  161       6.214136184260e-10       1.349538025283e-13      -5.914558181420e-12       1.163228048423e-15       2.893174644558e-12       5.438222393096e-13      -3.341012707271e-15 
  162       6.253447630492e-10       1.337686667832e-13      -5.881359331378e-12       1.179244205993e-15       2.841445728507e-12       5.362094547888e-13      -3.278941410223e-15 
